ID|字段名|类型|||描述|备注|
538|RationKind|C|3||定期定额品种代码||
539|BelongFundAssetFare|N|16|0|归基金资产费||
540|BackFare|N|16|0|后收手续费||
541|RecuperateFee|N|16|0|补差费|　|
542|ChangeFee|N|16|0|转换费|　|
543|AchievementPay|N|16|0|业绩报酬|　|
544|AchievementCompen|N|16|0|业绩补偿||
549|OverAmount|N|16|0|申请超限金额|　|
550|OverShares|N|16|0|申请超限份额|　|
551|CapitalGainTax|N|16|0|红利所得税|　|
552|CashDividendFee|N|16|0|现金分红手续费|　|
553|ConfirmPayDate|C|8||确认支付日期|　|
554|NetValueDate|C|8||净值日期|　|
555|NetValueType|C|1||净值类型|0-普通净值1-申购净值 2-赎回净值 |
556|FundYearIncomeRate|N|8|5|货币基金年收益率|最近一年来的收益率|
557|FundYearIncomeRateFlag|C|1||货币基金年收益率正负|　|
558|BeginInterestDate|C|8||起息日期|转发LOF认购明细中起息日期|
559|LofDataType|C|1||LOF数据类别|转发LOF认购明细中数据类别|
560|ManagerRealRatio|N|7|4|实际计算折扣||
561|CostPrice|N|7|4|成本价|批量份额调整业务用|
562|GeneralTASerialNO|A|20||总TA确认流水号|用于发送交易明细|
601|DrawBonusUnit|N|10|0|分红单位||
602|FrozenSharesforReinvest|N|16|0|冻结再投资份额||
603|SharesAdjustmentFlag|C|1||份额强制调整标志|0-柜台业务1-管理人批量调整2-管理人普通调整3-ETF份额标准化4-货币基金收益结转5-基金分拆 6-确权 7-挂失换新号8-基金升降级9-净值调整 A-业绩报酬  B-业绩补偿 C-联名卡还款份额调整 D-基金展期份额调整|
604|PeriodicStatus|C|1||定期定额状态|0-允许定期定额业务,1-仅允许定投业务,2-仅允许定赎业务,3-禁止定期定额业务|
605|TransferAgencyStatus|C|1||转托管状态|0-允许所有转托管,1-仅允许场外转托管,2-仅允许跨市场转托管,3-禁止所有转托管|
606|TransactionAccountStatus|C|1||交易账户状态|0-正常，3-注销|
607|RationNo|C|3||定期定额序号||
608|AchievementPayFlag|C|1||业绩报酬正负||
609|IndiMaxPurchase|N|16|0|个人最大申购金额||
610|InstMaxPurchase|N|16|0|法人最大申购金额||
611|IndiDayMaxSumBuy|N|16|0|个人当日累计购买最大金额||
612|InstDayMaxSumBuy|N|16|0|法人当日累计购买最大金额||
613|IndiDayMaxSumRedeem|N|16|0|个人当日累计赎回最大份额||
614|InstDayMaxSumRedeem|N|16|0|法人当日累计赎回最大份额||
615|IndiMaxRedeem|N|16|0|个人最大赎回份额||
616|InstMaxRedeem|N|16|0|法人最大赎回份额||
617|TargetRegistrarCode|C|2||对方TA代码||
618|AllowRedemptDate|A|8||可赎回日期||
619|AddFlag|C|1||增删标志||
620|ContractType|C|1||合同类型|1-电子签名合同 2-纸质合同|
621|SerialNo|C|26||流水号||
622|Version|C|3||版本号||
623|SignType|C|1||签署类型||
624|AcceptPlace|C|40||受理地点||
625|Notes|C|64||附加信息||
626|SignRiskNotice|C|1||已签署风险揭示书|0-未签署风险揭示书；,1-已签署电子风险揭示书；,2-已签署纸质风险揭示书。|
627|RiskMatching|C|1||风险承受能力匹配情况|1-客户风险匹配；,2-客户风险不匹配且已签署风险责任承诺书。|
628|CardNo|C|32||卡号||
629|SecondStatus|C|1||第二用途状态||
630|ThirdStatus|C|1||第三用途状态||
631|SecondNotes|C|64||第二用途信息||
632|ThirdNotes|C|64||第三用途信息||
633|SecondDate|C|8||第二用途日期||
634|ThirdDate|C|8||第三用途日期||
635|ReservedField1|C|20||预留字段1||
636|ReservedField2|C|20||预留字段2||
637|ReservedField3|C|30||预留字段3||
638|ReservedField4|N|16|0|预留字段4||
639|ReservedField5|N|16|0|预留字段5||
640|TAAccountID2|C|35||投资人基金帐号||
641|FundCode2|C|12||基金代码||
642|CodeOfTargetFund2|C|12||转换时的目标基金代码||
643|Charge2|N|16|0|手续费||
644|AgencyFee2|N|16|0|代理费||
645|PayAmount|N|16|0|交收金额||
646|FundManagerCode2|C|18||基金管理人||
647|CustodianCode2|C|18||托管人代码||
648|RegistrarCode2|C|18||注册登记人代码||
649|RegRegionCode|C|2||注册地国家代码||
650|SaleRegionCode|C|2||销售地国家代码||
651|MainFundCode|C|6||主基金代码||
652|ClassFlag|C|1||分级标识||
653|PriorFlag|C|1||优先劣后标识||
654|FundEndDate|C|8||到期日||
655|RelationUsage|C|2||关系用途||
656|AccumulativePerDiv|N|16|0|累积单位分红||
657|MarketFlag|C|1||市场标志||
658|StockAccount|C|10||股票账户||
659|TaxRatio|N|7|4|计税比例||
660|RatioDate|C|8||比例日期||
661|DestinationCode|C|6||基金资金全部投向产品代码||
662|PublicFlag|C|1||公募标识||
663|DistributorCode2|C|18||销售人代码2||
664|InvestorType|C|3||投资者类型|001:自然人非员工跟投,002:自然人员工跟投,,101:银行；102:保险公司；103:信托公司；104:证券公司；105:基金公司；106:期货公司；107:财务公司；108: 其他金融机构；109:一般工商企业（公司）；110:一般工商企业（合伙）；111: 外商投资企业；112:政府机构；113:其他机构,,201:公募基金产品；202:银行理财产品；203:信托计划；204:QFII；205:基金公司专户；206:基金子公司产品；207:保险公司及其子公司的资产管理计划；208:证券公司及其子公司的资产管理计划；209:期货公司及其子公司的资产管理计划；210:私募证券投资基金；211:私募股权投资基金；212:创业投资基金；213:社保基金；214:慈善或捐赠基金；215:养老基金；216:企业年金；217:政府类引导基金；218:其他产品|
665|InvestorProCode|C|6||投资者产品代码|若投资者为产品，填写产品代码|
666|PriorSequence|A|2||分级优先顺序|填写两位数值用于区分不同的优先顺序，从01起开始分配，数字越小优先级越高。|
667|TargetDistributorCode2|C|18||对方销售人代码2||
668|LeverageMultiple|N|10|4|杠杆倍数||
669|FormalFundCode|C|6||正式代码||
670|InvestAdName|C|80||投资顾问名称||
671|InvestAdBusCode|C|18||投资顾问社会信用代码||
672|InvestAdManCode|C|18||投资顾问私募管理人编码||
673|LeverageRate|N|16|4|杠杆率||
674|SurveyMethod|C|1||调查规则||
675|GetInvestCerFlag|C|1||取得投资人声明标识||
676|NonResiFlag|C|1||非居民标识||
677|ChineseName|C|100||中文姓名||
678|EnglishFirstName2|C|100||英文名2||
679|EnglishFamliyName2|C|100||英文姓2||
680|EnglishName|C|200||英文全称||
681|LivingCountry|C|3||现居国家||
682|LivingAddress|C|300||现居地址||
683|LivingAddress2|C|300||现居地址2||
684|LivingAddress3|C|300||现居地址3||
685|LivingAddress4|C|300||现居地址4||
686|BirthDate|C|8||出生日期||
687|BirthCountry|C|3||出生国家||
688|BirthCountryEngName|C|200||出生国英文名称||
689|BirthCity|C|200||出生城市||
690|AddressType|C|3||地址类型||
691|TaxCountry|C|3||税收居民国||
692|TaxID|C|200||纳税人识别号||
693|PassiveNonFinFlag|C|1||消极非金融机构标识||
694|HaveNonResConFlag|C|1||存在非居民控制人标识||
695|ChineseName2|C|100||中文姓名2||
696|EnglishFirstName3|C|100||英文名3||
697|EnglishFamliyName3|C|100||英文姓3||
698|ControllerType|C|6||控制人类型||
699|ConNonResiFlag|C|1||控制人非居民标识||
700|ConShareRatio|N|7|4|控制人持股比例||
701|LivingCountry2|C|3||现居国家2||
702|LivingAddress5|C|300||现居地址5||
703|LivingAddress6|C|300||现居地址6||
704|LivingAddress7|C|300||现居地址7||
705|LivingAddress8|C|300||现居地址8||
706|RegRegionCode2|C|2||国籍2||
707|BirthDate2|C|8||出生日期2||
708|BirthCountry2|C|3||出生国家2||
709|BirthCouEngName2|C|200||出生国英文名称2||
710|BirthCity2|C|120||出生城市2||
711|TaxCountry2|C|3||税收居民国2||
712|TaxID2|C|200||纳税人识别号2||
713|Specification2|C|60||摘要/说明2||
714|ReservedField6|C|300||预留字段6||
